,avg_price,availability_rate,total_revenue,n_of_diff_dates
22258063,488.37264150943395,0.7405660377358491,56120.0,424
53591732,728.8223140495868,0.9132231404958677,28904.0,484
41888100,225.51282051282053,0.2838827838827839,98030.0,546
51403736,166.70309653916212,0.692167577413479,22920.0,549
42848487,450.0,0.18543046357615894,55350.0,151
53738511,117.42285714285714,0.06857142857142857,19361.0,175
3325949,478.0510018214936,0.9890710382513661,2700.0,549
39145712,329.63351749539595,0.22467771639042358,112220.0,543
26026295,295.08196721311475,0.47176684881602915,80110.0,549
42003334,492.7122641509434,0.8443396226415094,45550.0,424
53007535,436.5201465201465,0.4010989010989011,99440.0,546
37684935,125.93065693430657,0.6405109489051095,27620.0,548
12490354,409.27140255009107,0.22404371584699453,166413.0,549
23078040,292.6824817518248,0.17518248175182483,143540.0,548
37487828,267.5045537340619,0.8724954462659381,19130.0,549
41664387,140.0,0.9507299270072993,3780.0,548
30086402,743.3041362530414,0.10948905109489052,274500.0,411
40479311,767.2859744990892,0.34790528233151186,335700.0,549
27867004,487.8419811320755,0.7830188679245284,58145.0,424
52881554,326.2043795620438,0.8637469586374696,27570.0,411
20286152,189.00910746812386,0.912568306010929,11246.0,549
51539313,436.1384335154827,0.9344262295081968,9910.0,549
46936020,246.55109489051094,0.38686131386861317,91490.0,548
52107212,354.8661800486618,0.9708029197080292,4200.0,411
51384806,170.0,0.13714285714285715,25670.0,175
53804551,113.16037735849056,0.9952830188679245,300.0,424
16017693,529.408014571949,0.581056466302368,111628.0,549
22876372,2060.4651162790697,0.5872093023255814,146000.0,172
22374889,441.9854280510018,0.4134790528233151,179700.0,549
22191680,245.93806921675775,0.3697632058287796,71065.0,549
675346432582102900,342.3627254509018,0.4589178356713427,48965.0,499
51886313,386.18333333333334,0.31851851851851853,146096.0,540
30795921,583.4551886792453,0.8042452830188679,48110.0,424
31702785,209.41037735849056,1.0,,424
42013117,330.33490566037733,0.12264150943396226,114844.0,424
45780750,454.1566484517304,0.4353369763205829,125164.0,549
44647390,76.98231132075472,1.0,,424
53277044,277.83962264150944,0.36792452830188677,71010.0,424
48332300,1558.8342440801457,0.9617486338797814,42780.0,549
41702158,1129.9071038251366,0.5938069216757741,236140.0,549
52666674,890.7176684881603,0.4207650273224044,172425.0,549
46318051,350.0206611570248,0.8223140495867769,30110.0,484
47018336,739.3697632058288,0.5792349726775956,117428.0,549
746339616465079765,349.43939393939394,0.9848484848484849,3800.0,396
16143113,820.2830188679245,0.8702830188679245,37200.0,424
580589381711973141,240.10928961748633,0.2204007285974499,105840.0,549
737536340558648851,303.490099009901,0.9232673267326733,11960.0,404
15449593,255.33018867924528,0.8891509433962265,16100.0,424
32283944,850.0,0.01650943396226415,354450.0,424
53885902,326.13479052823317,0.9890710382513661,2067.0,549
708797966707004436,167.99528301886792,0.13679245283018868,60520.0,424
41956614,631.2603406326034,0.48905109489051096,138848.0,411
21792285,410.70754716981133,0.49528301886792453,77940.0,424
53575381,650.0,0.9586374695863747,11050.0,411
16662563,1216.781954887218,0.2832080200501253,347496.0,399
43441094,192.98039215686273,0.39215686274509803,19792.0,153
27865733,529.3632075471698,0.7806603773584906,61500.0,424
593657806161786122,403.1367924528302,0.32075471698113206,110120.0,424
31016422,250.0,0.8419811320754716,16750.0,424
615047829578571459,118.17216981132076,0.7712264150943396,17283.0,424
47817545,230.65573770491804,0.18397085610200364,107495.0,549
16105751,217.71766848816029,0.8269581056466302,15322.0,549
46657202,1616.9811320754718,0.9457547169811321,36800.0,424
44890294,300.23643410852713,0.07364341085271318,143380.0,516
48466066,786.6745283018868,0.9245283018867925,25000.0,424
47189324,264.45754716981133,0.8066037735849056,22960.0,424
28410850,494.0,0.18023255813953487,208962.0,516
46511413,392.85377358490564,0.8584905660377359,31870.0,424
47222306,189.5992714025501,0.9289617486338798,7350.0,549
746233917442056449,86.48101265822785,0.8886075949367088,3520.0,395
34976786,2500.0,1.0,,424
53717416,394.26775956284155,0.4444444444444444,78564.0,549
47268255,562.1402550091075,0.9289617486338798,32350.0,549
610135822891897993,537.0047169811321,0.5283018867924528,104590.0,424
53643568,275.60377358490564,0.5283018867924528,8269.0,53
705946468067026302,482.35714285714283,0.5714285714285714,32280.0,140
43219070,641.9103773584906,0.9669811320754716,11000.0,424
43379132,352.59744990892534,0.5628415300546448,75276.0,549
41532894,295.0200364298725,0.4444444444444444,96556.0,549
46599529,2900.0,1.0,,424
31530689,643.1603773584906,0.9316037735849056,19300.0,424
40524210,350.0,0.07311320754716981,137550.0,424
53355882,554.622641509434,0.29245283018867924,161680.0,424
32420779,338.32547169811323,0.14386792452830188,106250.0,424
21324331,96.75,0.5,775.0,28
30303302,409.0566037735849,0.36556603773584906,115550.0,424
30105402,541.1084905660377,0.9198113207547169,30100.0,424
48254075,242.8360655737705,0.29690346083788705,101542.0,549
670854595604806968,983.0188679245283,0.4882075471698113,225300.0,424
563536617774957115,461.5631313131313,0.3484848484848485,105809.0,396
22452333,614.0,0.0,16578.0,27
53916555,113.32075471698113,0.4386792452830189,24665.0,424
605589358786863903,995.0471698113207,0.3938679245283019,215500.0,424
15909831,597.5045537340619,0.16757741347905283,277320.0,549
16661542,228.70967741935485,0.7096774193548387,1791.0,31
21547223,5000.0,1.0,,424
47213093,291.0024752475247,0.905940594059406,14165.0,404
42709958,1244.2712264150944,0.22877358490566038,408807.0,424
50047341,271.88342440801455,0.7795992714025501,35376.0,549
733119821798759162,654.950495049505,0.6311881188118812,97900.0,404
41731856,560.3649635036496,0.2749391727493917,175130.0,411
21078841,786.4150943396227,0.9811320754716981,7600.0,424
605810707271200793,296.6981132075472,0.9905660377358491,1200.0,424
53402429,2500.0,0.9882075471698113,12500.0,424
48220549,389.3867924528302,0.7004716981132075,68300.0,424
16719441,200.70754716981133,0.5070754716981132,42100.0,424
42138941,398.1132075471698,0.7051886792452831,42600.0,424
21034445,950.0,0.31386861313868614,267900.0,411
695403353836814259,392.35849056603774,0.9952830188679245,1560.0,424
51785337,334.811320754717,0.8726415094339622,19500.0,424
53340772,455.4009433962264,0.9292452830188679,18750.0,424
46381164,2300.0,0.7594339622641509,234600.0,424
51990592,556.683962264151,0.8231132075471698,53755.0,424
614251726762980674,369.10377358490564,0.7169811320754716,43800.0,424
54327064,1300.0,0.9848101265822785,7800.0,395
39032502,256.08490566037733,0.9080188679245284,11300.0,424
708655269844082666,855.4245283018868,0.9834905660377359,6300.0,424
46924699,408.1785063752277,0.37340619307832423,151360.0,549
53724508,138.0,0.5801886792452831,24564.0,424
48529496,200.0,0.9221698113207547,6600.0,424
52350730,592.4528301886793,0.9716981132075472,9500.0,424
28429135,386.3636363636364,0.9318181818181818,12700.0,396
